task   id   group   session   trial   condition   trialxcondition   gripFreq
PIT   120   control   second   18    CSminus   6   3
PIT   120   control   second   19    BL   7   5
PIT   120   control   second   20    BL   8   5
PIT   120   control   second   21    BL   9   2
PIT   120   control   second   22    CSminus   7   1
PIT   120   control   second   23    CSminus   8   1
PIT   120   control   second   24    CSminus   9   0
PIT   120   control   second   25    CSplus   7   4
PIT   120   control   second   26    CSplus   8   4
PIT   120   control   second   27    CSplus   9   5
PIT   120   control   second   28    CSplus   10   3
PIT   120   control   second   29    CSplus   11   5
PIT   120   control   second   30    CSplus   12   5
PIT   120   control   second   31    CSminus   10   0
PIT   120   control   second   32    CSminus   11   0
PIT   120   control   second   33    CSminus   12   0
PIT   120   control   second   34    BL   10   7
PIT   120   control   second   35    BL   11   7
PIT   120   control   second   36    BL   12   5
PIT   120   control   second   37    CSplus   13   3
PIT   120   control   second   38    CSplus   14   4
PIT   120   control   second   39    CSplus   15   1
PIT   120   control   second   40    CSminus   13   0
PIT   120   control   second   41    CSminus   14   0
PIT   120   control   second   42    CSminus   15   0
PIT   120   control   second   43    BL   13   8
PIT   120   control   second   44    BL   14   6
PIT   120   control   second   45    BL   15   5
PIT   121   control   second   1    BL   1   27
PIT   121   control   second   2    BL   2   21
PIT   121   control   second   3    BL   3   17
PIT   121   control   second   4    CSplus   1   19
PIT   121   control   second   5    CSplus   2   10
PIT   121   control   second   6    CSplus   3   18
PIT   121   control   second   7    CSminus   1   23
PIT   121   control   second   8    CSminus   2   5
